车型信息,动力,车种,6月车型销量,车型,品线月销量,品线月销售额
吉普  Wrangler (Jeep ),ICE,SUV-C,12778, Wrangler,17643,536848
Tesla Model Y,EV,SUV-D,36435, Model Y,10822,430141
吉普  Jeep Gladiator,ICE,Pickup Truck,5130, Gladiator,8024,217105
Tesla Model 3,EV,Car-D,19000, Model 3,5807,161824
福特 Ford F-150,ICE,Pickup Truck,72355, F-150,4704,295275
福特 Bronco Sport,ICE,SUV-C,11152, Bronco,2805,92474
本田 CR-V,HV,SUV-D,31159, CR-V,2748,149892
道奇  Charger (Dodge ),ICE,Car-D,8047, Charger,2621,52551
雪佛兰 Silverado,ICE,Pickup Truck,47698, Silverado,2355,217831
丰田 Tacoma,ICE,Pickup Truck,20153, Tacoma,2336,66178
GMC GMC Sierra,ICE,Pickup Truck,25544, Sierra,2325,216960
丰田 4Runner,ICE,SUV-D,9168, 4Runner,1869,64262
Ram  Ram 1500,ICE,Pickup Truck,39550, Ram 1500,1762,73392
Ram  Ram 1500,ICE,Pickup Truck,39550, RAM 1500,1762,73392
宝马 X5,ICE,SUV-E,6208, X5,1493,39901
宝马 X3,ICE,SUV-D,5070, X3,1303,45488
本田 Honda Pilot,ICE,SUV-D,10691, Pilot,1148,24380
雷克萨斯 Lexus GX,ICE,SUV-E,2545, Lexus GX,1095,20076
#N/A,#N/A,#N/A,#N/A, X6,1045,24052
路虎  Defender (Land Rover ),ICE,SUV-D,1996, Defender,1023,41807
本田 Odyssey,ICE,MPV,5239, Odyssey,995,8723
丰田 Tundra,ICE,Pickup Truck,10500, Tundra,989,37496
雪佛兰 Corvette,ICE,Car-F,3136, Corvette,957,15289
梅赛德斯-奔驰  GLE-Class (M-Class/ML-Class),ICE,SUV-E,4543, GLE,932,18824
宝马 X1,ICE,SUV-C,1370, X1,923,19301
本田 Ridgeline,ICE,Pickup Truck,4678, Ridgeline,920,24920
Tesla Model S,EV,Car-E,1700, Model S,882,32238
#N/A,#N/A,#N/A,#N/A, Cruiser,878,17723
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Cherokee,847,60423
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Grand Cherokee,792,56753
Tesla Model X,EV,SUV-E,2500, Model X,747,33324
福特 Mustang,ICE,Car-D,2060, Mustang,717,13844
吉普  Renegade,ICE,SUV-B,1515, Renegade,716,20018
#N/A,#N/A,#N/A,#N/A, Land Cruiser,697,12022
#N/A,#N/A,#N/A,#N/A, RX350,679,14614
本田 Civic,ICE,Car-C,15979, Civic,647,6685
#N/A,#N/A,#N/A,#N/A, Accent,643,5776
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Grand Cherokee ,623,36545
福特 Ford Maverick,HV,Pickup Truck,7473, Maverick,606,19926
福特 Ford Ranger,ICE,Pickup Truck,4415, Ranger,598,19757
#N/A,#N/A,#N/A,#N/A, Fusion,593,10190
#N/A,#N/A,#N/A,#N/A, Ram 2500,574,10253
#N/A,#N/A,#N/A,#N/A, RAM 2500,574,10253
梅赛德斯-奔驰  GLC-Class (GLK-Class),ICE,SUV-D,4702, GLC,572,10655
#N/A,#N/A,#N/A,#N/A, SRX,563,10938
福特 Explorer,ICE,SUV-D,12824, Explorer,532,12263
沃尔沃汽车  XC90 (Volvo Cars ),ICE,SUV-E,2776, XC90,526,16728
福特 Edge,ICE,SUV-D,7483, Edge,515,14307
#N/A,#N/A,#N/A,#N/A, Z4,508,9092
路虎  Range Rover (Land Rover ),ICE,SUV-E,1432, Range Rover,498,9455
#N/A,#N/A,#N/A,#N/A, Range Rover Sport,498,9455
#N/A,#N/A,#N/A,#N/A, Liberty,493,3438
本田 Accord,ICE,Car-D,17735, Accord,488,5118
现代 Tucson (ix35),ICE,SUV-C,17228, Tucson,488,39811
#N/A,#N/A,#N/A,#N/A, Nitro,484,3308
本田 Passport,ICE,SUV-D,3710, Passport,480,19089
雪佛兰 Tahoe,ICE,SUV-E,9955, Tahoe,479,4546
雷克萨斯 Lexus RX,ICE,SUV-E,10274, Lexus RX,469,9523
福特 Transit,ICE,van,10977, Transit,468,8145
GMC Yukon,ICE,SUV-E,3845, Yukon,463,5026
丰田 RAV4,ICE,SUV-D,38482, RAV4,456,18538
沃尔沃汽车  XC60 (Volvo Cars ),ICE,SUV-D,3300, XC60,425,11720
#N/A,#N/A,#N/A,#N/A, S90,425,10948
#N/A,#N/A,#N/A,#N/A, S60,424,10946
#N/A,#N/A,#N/A,#N/A, V90,423,10873
#N/A,#N/A,#N/A,#N/A, V60,422,10871
#N/A,#N/A,#N/A,#N/A, F-250,410,55665
福特 Escape,ICE,SUV-C,12465, Escape,399,15713
Lincoln Lincoln Nautilus,ICE,SUV-D,2286, Lincoln,393,11204
马自达 CX-5,ICE,SUV-C,12861, CX-5,375,34896
吉普  Compass (Jeep ),ICE,SUV-C,8615, Compass,361,8148
日产 Rogue,ICE,SUV-C,27096, Rogue,355,29328
#N/A,#N/A,#N/A,#N/A, Fiesta,347,6663
丰田 Corolla,ICE,Car-C,18163, Corolla,336,6026
沃尔沃汽车  XC40 (Volvo Cars ),ICE,SUV-C,1643, XC40,328,6982
GMC Acadia,ICE,SUV-D,6872, Acadia,316,9435
雪佛兰 Chevrolet Colorado,ICE,Pickup Truck,10664, Colorado,307,3852
福特 Expedition,ICE,SUV-E,6970, Expedition,298,11902
起亚 Sportage,ICE,SUV-C,13128, Sportage,296,22902
#N/A,#N/A,#N/A,#N/A, Patriot,293,7017
#N/A,#N/A,#N/A,#N/A, X4,291,7277
#N/A,#N/A,#N/A,#N/A, Hummer,289,3481
GMC Canyon,ICE,Pickup Truck,3496, Canyon,288,3473
克莱斯勒  Chrysler,柴油 ,Class 5,1823, CHR,282,2733
雪佛兰 Equinox,ICE,SUV-C,14604, Equinox,280,20322
斯巴鲁 Forester,ICE,SUV-C,10669, Forester,278,7637
#N/A,#N/A,#N/A,#N/A, Avenger,276,2695
#N/A,#N/A,#N/A,#N/A, Chrysler 200,269,2626
马自达 CX-30,ICE,SUV-C,6612, CX-30,261,8426
丰田 Camry,ICE,Car-D,27078, Camry,253,3406
GMC Terrain,ICE,SUV-C,6334, Terrain,250,19530
Cadillac Cadillac XT5,ICE,SUV-D,1985, Cadillac XT5,244,4389
#N/A,#N/A,#N/A,#N/A, Golf,240,7754
福特 Bronco Sport,ICE,SUV-C,11152, Bronco Sport,237,6337
大众 VW Atlas,ICE,SUV-D,7863, Atlas,227,3822
#N/A,#N/A,#N/A,#N/A, Cruze,213,2233
宝马 4 Series,ICE,Car-D,2136, 4 Series,200,2398
丰田 Highlander,ICE,SUV-D,18761, Highlander,198,5739
马自达 CX-9,ICE,SUV-D,863, CX-9,175,2603
大众 ID.4,EV,SUV-C,2836, ID.4,173,2603
#N/A,#N/A,#N/A,#N/A, Spark,170,2310
#N/A,#N/A,#N/A,#N/A, Crosstrek,163,12060
道奇  Durango (Dodge ),ICE,SUV-E,5793, Durango,151,6455
#N/A,#N/A,#N/A,#N/A, Audi A6,151,1648
梅赛德斯-奔驰  GLB,ICE,SUV-D,1191, GLB,139,2252
日产 Frontier (Navara),ICE,Pickup Truck,5072, Frontier,137,2879
#N/A,#N/A,#N/A,#N/A, TSX,134,1041
斯巴鲁 Impreza,ICE,Car-C,2954, Impreza,133,10033
#N/A,#N/A,#N/A,#N/A, Beetle,133,1392
#N/A,#N/A,#N/A,#N/A, IS300,128,2292
现代 Palisade,ICE,SUV-D,5873, Palisade,127,2845
丰田 Prius,HV,Car-C,1472, Prius,127,3795
斯巴鲁 Outback,ICE,SUV-D,16225, Outback,125,5417
现代 Santa Fe,ICE,SUV-D,11276, Santa Fe,121,10877
Lincoln Lincoln MKC/Corsair,ICE,SUV-C,2587, MKC,117,2698
#N/A,#N/A,#N/A,#N/A, Element,111,751
GMC Savana,ICE,van,2560, Savana,110,1217
#N/A,#N/A,#N/A,#N/A, EQB,108,1726
日产 Pathfinder,ICE,SUV-D,5082, Pathfinder,107,1784
#N/A,#N/A,#N/A,#N/A, X2,107,1179
#N/A,#N/A,#N/A,#N/A, Mazda 3,104,1510
现代 IONIQ 5,EV,SUV-D,3136, Ioniq,97,3554
#N/A,#N/A,#N/A,#N/A, Focus,96,2812
Cadillac Escalade,ICE,SUV-E,4497, Escalade,95,1745
#N/A,#N/A,#N/A,#N/A, Cooper,93,1934
大众 Jetta,ICE,Car-C,4587, Jetta,91,1572
本田 HR-V,ICE,SUV-C,9136, HR-V,91,8432
现代 Santa Cruz,ICE,Pickup Truck,3627, Santa Cruz,89,1595
#N/A,#N/A,#N/A,#N/A, Matrix,88,609
起亚 Soul,ICE,Car-C,5202, Soul,87,1833
丰田 Venza,HV,SUV-D,2384, Venza,84,924
#N/A,#N/A,#N/A,#N/A, HRV,80,7624
#N/A,#N/A,#N/A,#N/A, Sebring,80,775
#N/A,#N/A,#N/A,#N/A, Infiniti QX50,78,2252
