车型信息,动力,车种,6月车型销量,车型,品线月销量,品线月销售额
福特 Ford F-150,ICE,Pickup Truck,72355, F-150,8377,1098568
雪佛兰 Silverado,ICE,Pickup Truck,47698, Silverado,7598,1211301
GMC GMC Sierra,ICE,Pickup Truck,25544, Sierra,6774,1084496
#N/A,#N/A,#N/A,#N/A, F150,5903,829745
丰田 Tacoma,ICE,Pickup Truck,20153, Tacoma,5652,1041300
福特 Edge,ICE,SUV-D,7483, Edge,5577,221912
#N/A,#N/A,#N/A,#N/A, F250,5490,795497
Tesla Model Y,EV,SUV-D,36435, Model Y,5123,540439
吉普  Wrangler (Jeep ),ICE,SUV-C,12778, Wrangler,3933,696867
Ram  Ram 1500,ICE,Pickup Truck,39550, Ram 1500,3629,392324
Ram  Ram 1500,ICE,Pickup Truck,39550, RAM 1500,3629,392324
丰田 RAV4,ICE,SUV-D,38482, RAV4,2937,544250
路虎  Defender (Land Rover ),ICE,SUV-D,1996, Defender,2823,230367
本田 CR-V,HV,SUV-D,31159, CR-V,2623,478169
Tesla Model 3,EV,Car-D,19000, Model 3,2284,227651
丰田 Tundra,ICE,Pickup Truck,10500, Tundra,2208,362803
#N/A,#N/A,#N/A,#N/A, CRV,2148,381727
雪佛兰 Tahoe,ICE,SUV-E,9955, Tahoe,1918,143907
雪佛兰 C/K Suburban,ICE,SUV-E,5209, Suburban,1906,140628
GMC Yukon,ICE,SUV-E,3845, Yukon,1889,140585
福特 Bronco Sport,ICE,SUV-C,11152, Bronco,1736,129789
#N/A,#N/A,#N/A,#N/A, Ram 2500,1559,215853
#N/A,#N/A,#N/A,#N/A, RAM 2500,1559,215853
本田 Accord,ICE,Car-D,17735, Accord,1476,225331
日产 Rogue,ICE,SUV-C,27096, Rogue,1410,220885
丰田 Corolla,ICE,Car-C,18163, Corolla,1357,221064
#N/A,#N/A,#N/A,#N/A, F-250,1347,180374
丰田 Highlander,ICE,SUV-D,18761, Highlander,1226,266699
斯巴鲁 Outback,ICE,SUV-D,16225, Outback,1157,174907
日产 Altima,ICE,Car-D,8093, Altima,1063,153994
福特 Ford Ranger,ICE,Pickup Truck,4415, Ranger,929,112763
起亚 Sportage,ICE,SUV-C,13128, Sportage,851,95328
丰田 Camry,ICE,Car-D,27078, Camry,818,149507
斯巴鲁 Forester,ICE,SUV-C,10669, Forester,763,137600
#N/A,#N/A,#N/A,#N/A, CX5,758,131965
GMC Yukon XL,ICE,SUV-E,3045, Yukon XL,677,69156
丰田 4Runner,ICE,SUV-D,9168, 4Runner,677,113025
雪佛兰 Equinox,ICE,SUV-C,14604, Equinox,673,97285
日产 Frontier (Navara),ICE,Pickup Truck,5072, Frontier,637,74132
丰田 Sienna,HV,MPV,6418, Sienna,583,149499
现代 Sonata,ICE,Car-D,3834, Sonata,545,62202
#N/A,#N/A,#N/A,#N/A, Elantra,535,63248
#N/A,#N/A,#N/A,#N/A, Crosstrek,523,89677
本田 Civic,ICE,Car-C,15979, Civic,510,84861
丰田 Prius,HV,Car-C,1472, Prius,500,50168
#N/A,#N/A,#N/A,#N/A, Accent,462,19192
道奇  Charger (Dodge ),ICE,Car-D,8047, Charger,450,18435
大众 Jetta,ICE,Car-C,4587, Jetta,448,47507
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Cherokee,426,75026
Tesla Model S,EV,Car-E,1700, Model S,412,20392
吉普  Jeep Gladiator,ICE,Pickup Truck,5130, Gladiator,396,76542
雪佛兰 Chevrolet Colorado,ICE,Pickup Truck,10664, Colorado,391,70632
#N/A,#N/A,#N/A,#N/A, Golf,385,36422
大众 Tiguan,ICE,SUV-C,4683, Tiguan,370,38535
福特 Mustang,ICE,Car-D,2060, Mustang,363,50801
日产 Murano,ICE,SUV-D,2910, Murano,354,34859
#N/A,#N/A,#N/A,#N/A, Leaf,343,14572
斯巴鲁 Impreza,ICE,Car-C,2954, Impreza,327,59427
Tesla Model X,EV,SUV-E,2500, Model X,307,23409
福特 Transit,ICE,van,10977, Transit,293,16297
本田 Honda Pilot,ICE,SUV-D,10691, Pilot,289,26454
丰田 Crown,HV,Car-E,1177, Crown,289,36076
道奇  Challenger (Dodge ),ICE,Car-D,4199, Challenger,282,19387
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Grand Cherokee,279,51489
现代 IONIQ 5,EV,SUV-D,3136, Ioniq,278,35824
福特 Escape,ICE,SUV-C,12465, Escape,272,46225
福特 Ford Maverick,HV,Pickup Truck,7473, Maverick,255,48592
斯巴鲁 Legacy,ICE,Car-D,2347, Legacy,251,49419
#N/A,#N/A,#N/A,#N/A, Optima,246,37213
雪佛兰 Corvette,ICE,Car-F,3136, Corvette,223,11821
Cadillac Escalade,ICE,SUV-E,4497, Escalade,218,27158
#N/A,#N/A,#N/A,#N/A, Cruiser,218,26170
#N/A,#N/A,#N/A,#N/A, Fiesta,218,25332
GMC Terrain,ICE,SUV-C,6334, Terrain,211,21107
道奇  Durango (Dodge ),ICE,SUV-E,5793, Durango,209,10820
宝马 X1,ICE,SUV-C,1370, X1,197,4704
雪佛兰 Camaro,ICE,Car-D,3207, Camaro,194,10367
马自达 CX-5,ICE,SUV-C,12861, CX-5,187,34624
日产 Nissan Titan,ICE,Pickup Truck,2455, Titan,178,22317
宝马 3 Series,ICE,Car-D,2437, 3 Series,165,1497
#N/A,#N/A,#N/A,#N/A, 2 Series,165,1497
福特 Explorer,ICE,SUV-D,12824, Explorer,164,32686
起亚 Sorento (KX7),ICE,SUV-D,7607, Sorento,164,31502
GMC Canyon,ICE,Pickup Truck,3496, Canyon,158,25662
GMC Savana,ICE,van,2560, Savana,156,12482
