车型信息,动力,车种,6月车型销量,车型,品线月销量,品线月销售额
福特 Bronco Sport,ICE,SUV-C,11152, Bronco,2498,181773
本田 CR-V,HV,SUV-D,31159, CR-V,1632,146654
Tesla Model Y,EV,SUV-D,36435, Model Y,1548,169240
现代 Palisade,ICE,SUV-D,5873, Palisade,1060,84398
丰田 4Runner,ICE,SUV-D,9168, 4Runner,974,113990
#N/A,#N/A,#N/A,#N/A, CRV,851,80765
本田 Honda Pilot,ICE,SUV-D,10691, Pilot,714,55329
丰田 Highlander,ICE,SUV-D,18761, Highlander,646,44853
日产 Rogue,ICE,SUV-C,27096, Rogue,473,65083
福特 Explorer,ICE,SUV-D,12824, Explorer,445,34116
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Cherokee,405,49010
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Grand Cherokee,369,44393
雪佛兰 Equinox,ICE,SUV-C,14604, Equinox,363,40879
GMC Terrain,ICE,SUV-C,6334, Terrain,363,40879
丰田 RAV4,ICE,SUV-D,38482, RAV4,353,33036
斯巴鲁 Forester,ICE,SUV-C,10669, Forester,175,20441
雪佛兰 Tahoe,ICE,SUV-E,9955, Tahoe,158,20537
GMC Yukon,ICE,SUV-E,3845, Yukon,158,20537
吉普  Wrangler (Jeep ),ICE,SUV-C,12778, Wrangler,124,8097
Tesla Model 3,EV,Car-D,19000, Model 3,113,7686
起亚 EV6,EV,SUV-D,1458, EV6,104,6020
福特 Edge,ICE,SUV-D,7483, Edge,99,3662
雪佛兰 Trailblazer,ICE,SUV-C,11579, Trailblazer,87,10101
现代 Tucson (ix35),ICE,SUV-C,17228, Tucson,73,10799
斯巴鲁 Outback,ICE,SUV-D,16225, Outback,73,4073
福特 Bronco Sport,ICE,SUV-C,11152, Bronco Sport,53,2674
现代 IONIQ 5,EV,SUV-D,3136, Ioniq,51,4589
现代 IONIQ 5,EV,SUV-D,3136, IONIQ 5,51,4589
吉普  Compass (Jeep ),ICE,SUV-C,8615, Compass,45,7106
斯巴鲁 Impreza,ICE,Car-C,2954, Impreza,37,3226
起亚 Sportage,ICE,SUV-C,13128, Sportage,37,5796
福特 Escape,ICE,SUV-C,12465, Escape,36,3958
本田 Civic,ICE,Car-C,15979, Civic,31,6329
马自达 CX-5,ICE,SUV-C,12861, CX-5,30,5978
Ram  Ram 1500,ICE,Pickup Truck,39550, Ram 1500,26,3119
Ram  Ram 1500,ICE,Pickup Truck,39550, RAM 1500,26,3119
雷克萨斯 Lexus NX,ICE,SUV-D,5974, Lexus NX,26,1819
宝马 X5,ICE,SUV-E,6208, X5,24,3956
斯巴鲁 XV,ICE,SUV-C,13788, XV,21,2267
宝马 X3,ICE,SUV-D,5070, X3,20,946
雪佛兰 Blazer,ICE,SUV-D,6290, Blazer,17,3890
福特 Mustang,ICE,Car-D,2060, Mustang,12,2243
福特 Mustang Mach-E,EV,SUV-D,4110, Mustang Mach-E,12,2243
日产 Pathfinder,ICE,SUV-D,5082, Pathfinder,3,569
三菱 Outlander,ICE,SUV-D,3936, Outlander,2,239
吉普  Wagoneer (Jeep ),ICE,SUV-E,3015, Wagoneer,2,179
#N/A,#N/A,#N/A,#N/A, Grand Wagoneer,2,179
#N/A,#N/A,#N/A,#N/A, F150,0,0
雪佛兰 Silverado,ICE,Pickup Truck,47698, Silverado,0,0
GMC GMC Sierra,ICE,Pickup Truck,25544, Sierra,0,0
#N/A,#N/A,#N/A,#N/A, F250,0,0
梅赛德斯-奔驰  GLE-Class (M-Class/ML-Class),ICE,SUV-E,4543, GLE,0,0
雪佛兰 C/K Suburban,ICE,SUV-E,5209, Suburban,0,0
丰田 Tacoma,ICE,Pickup Truck,20153, Tacoma,0,0
本田 Accord,ICE,Car-D,17735, Accord,0,0
吉普  Jeep Gladiator,ICE,Pickup Truck,5130, Gladiator,0,0
GMC Yukon XL,ICE,SUV-E,3045, Yukon XL,0,0
丰田 Camry,ICE,Car-D,27078, Camry,0,0
道奇  Charger (Dodge ),ICE,Car-D,8047, Charger,0,0
福特 Expedition,ICE,SUV-E,6970, Expedition,0,0
丰田 Tundra,ICE,Pickup Truck,10500, Tundra,0,0
克莱斯勒  Chrysler,柴油 ,Class 5,1823, CHR,0,0
克莱斯勒  Chrysler 300 series (Chrysler ),ICE,Car-E,1635, Chrysler 300,0,0
福特 Ford Ranger,ICE,Pickup Truck,4415, Ranger,0,0
#N/A,#N/A,#N/A,#N/A, Crosstrek,0,0
福特 Ford F-150,ICE,Pickup Truck,72355, F-150,0,0
丰田 Corolla,ICE,Car-C,18163, Corolla,0,0
日产 Altima,ICE,Car-D,8093, Altima,0,0
宝马 BMW 5 Series,ICE,Car-E,1439, BMW 5 Series,0,0
#N/A,#N/A,#N/A,#N/A, X6,0,0
道奇  Challenger (Dodge ),ICE,Car-D,4199, Challenger,0,0
日产 Frontier (Navara),ICE,Pickup Truck,5072, Frontier,0,0
本田 Odyssey,ICE,MPV,5239, Odyssey,0,0
#N/A,#N/A,#N/A,#N/A, X4,0,0
#N/A,#N/A,#N/A,#N/A, C Class,0,0
#N/A,#N/A,#N/A,#N/A, Sequoia,0,0
#N/A,#N/A,#N/A,#N/A, Avalon,0,0
梅赛德斯-奔驰  GLC-Class (GLK-Class),ICE,SUV-D,4702, GLC,0,0
Cadillac Escalade,ICE,SUV-E,4497, Escalade,0,0
雪佛兰 Camaro,ICE,Car-D,3207, Camaro,0,0
道奇  Durango (Dodge ),ICE,SUV-E,5793, Durango,0,0
宝马 3 Series,ICE,Car-D,2437, 3 Series,0,0
#N/A,#N/A,#N/A,#N/A, F-250,0,0
雪佛兰 Corvette,ICE,Car-F,3136, Corvette,0,0
现代 Sonata,ICE,Car-D,3834, Sonata,0,0
起亚 Telluride,ICE,SUV-D,9534, Telluride,0,0
丰田 Sienna,HV,MPV,6418, Sienna,0,0
