车型信息,动力,车种,6月车型销量,车型,品线月销量,品线月销售额
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Cherokee,2549,274195
丰田 RAV4,ICE,SUV-D,38482, RAV4,1872,213568
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Grand Cherokee,1689,188938
斯巴鲁 Forester,ICE,SUV-C,10669, Forester,1627,150463
丰田 Highlander,ICE,SUV-D,18761, Highlander,1169,136685
本田 Honda Pilot,ICE,SUV-D,10691, Pilot,1112,149199
斯巴鲁 Impreza,ICE,Car-C,2954, Impreza,1072,99587
福特 Explorer,ICE,SUV-D,12824, Explorer,748,78757
本田 CR-V,HV,SUV-D,31159, CR-V,547,67803
丰田 Sienna,HV,MPV,6418, Sienna,530,48754
起亚 Telluride,ICE,SUV-D,9534, Telluride,510,63668
福特 Bronco Sport,ICE,SUV-C,11152, Bronco,503,54326
吉普  Wrangler (Jeep ),ICE,SUV-C,12778, Wrangler,474,75519
福特 Bronco Sport,ICE,SUV-C,11152, Bronco Sport,449,42632
丰田 4Runner,ICE,SUV-D,9168, 4Runner,440,43160
雪佛兰 Traverse,ICE,SUV-D,10536, Traverse,364,42775
丰田 Tacoma,ICE,Pickup Truck,20153, Tacoma,359,56597
GMC Yukon,ICE,SUV-E,3845, Yukon,356,33677
Cadillac Escalade,ICE,SUV-E,4497, Escalade,352,33041
日产 Rogue,ICE,SUV-C,27096, Rogue,351,37944
斯巴鲁 Outback,ICE,SUV-D,16225, Outback,322,28839
大众 Tiguan,ICE,SUV-C,4683, Tiguan,310,30673
现代 Santa Fe,ICE,SUV-D,11276, Santa Fe,306,36472
现代 Palisade,ICE,SUV-D,5873, Palisade,296,34804
雪佛兰 Equinox,ICE,SUV-C,14604, Equinox,284,29170
现代 Tucson (ix35),ICE,SUV-C,17228, Tucson,281,33422
雪佛兰 Tahoe,ICE,SUV-E,9955, Tahoe,278,25198
起亚 Sorento (KX7),ICE,SUV-D,7607, Sorento,271,33507
斯巴鲁 XV,ICE,SUV-C,13788, XV,266,18650
马自达 CX-5,ICE,SUV-C,12861, CX-5,259,62489
GMC Terrain,ICE,SUV-C,6334, Terrain,258,26236
吉普  Renegade,ICE,SUV-B,1515, Renegade,234,20342
吉普  Compass (Jeep ),ICE,SUV-C,8615, Compass,224,25305
起亚 Sportage,ICE,SUV-C,13128, Sportage,208,27591
福特 Expedition,ICE,SUV-E,6970, Expedition,206,26119
起亚 Soul,ICE,Car-C,5202, Soul,183,17931
斯巴鲁 Ascent,ICE,SUV-D,5889, Ascent,176,16051
Lincoln Lincoln Nautilus,ICE,SUV-D,2286, Lincoln,172,22244
Lincoln Lincoln Navigator,ICE,SUV-E,1674, Lincoln Navigator,172,22244
本田 Odyssey,ICE,MPV,5239, Odyssey,171,25232
雪佛兰 C/K Suburban,ICE,SUV-E,5209, Suburban,166,14578
GMC Yukon XL,ICE,SUV-E,3045, Yukon XL,164,17136
日产 Pathfinder,ICE,SUV-D,5082, Pathfinder,158,11576
大众 Taos,ICE,SUV-C,4403, Taos,153,13707
