车型信息,动力,车种,6月车型销量,车型,品线月销量,品线月销售额
Tesla Model Y,EV,SUV-D,36435, Model Y,8057,1317365
福特 Ford F-150,ICE,Pickup Truck,72355, F-150,7634,899339
Tesla Model 3,EV,Car-D,19000, Model 3,6791,958657
本田 CR-V,HV,SUV-D,31159, CR-V,6789,743603
雪佛兰 Silverado,ICE,Pickup Truck,47698, Silverado,4503,567719
Ram  Ram 1500,ICE,Pickup Truck,39550, Ram 1500,4196,491796
Ram  Ram 1500,ICE,Pickup Truck,39550, RAM 1500,4196,491796
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Cherokee,3864,575565
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Grand Cherokee,3618,546940
吉普  Wrangler (Jeep ),ICE,SUV-C,12778, Wrangler,2988,373206
本田 Civic,ICE,Car-C,15979, Civic,2832,284002
GMC GMC Sierra,ICE,Pickup Truck,25544, Sierra,2823,332410
#N/A,#N/A,#N/A,#N/A, CRV,2460,278709
本田 Accord,ICE,Car-D,17735, Accord,2376,234614
丰田 Camry,ICE,Car-D,27078, Camry,2358,249618
丰田 Tacoma,ICE,Pickup Truck,20153, Tacoma,2135,234238
#N/A,#N/A,#N/A,#N/A, F-250,2123,256193
GMC Yukon,ICE,SUV-E,3845, Yukon,1975,291107
#N/A,#N/A,#N/A,#N/A, Ram 2500,1968,252787
#N/A,#N/A,#N/A,#N/A, RAM 2500,1968,252787
路虎  Defender (Land Rover ),ICE,SUV-D,1996, Defender,1959,97216
丰田 4Runner,ICE,SUV-D,9168, 4Runner,1929,239599
#N/A,#N/A,#N/A,#N/A, F150,1876,208118
马自达 CX-5,ICE,SUV-C,12861, CX-5,1662,192224
本田 Ridgeline,ICE,Pickup Truck,4678, Ridgeline,1657,103369
本田 Honda Pilot,ICE,SUV-D,10691, Pilot,1594,231220
丰田 Corolla,ICE,Car-C,18163, Corolla,1485,162821
丰田 RAV4,ICE,SUV-D,38482, RAV4,1477,171490
起亚 Sportage,ICE,SUV-C,13128, Sportage,1473,165339
福特 Edge,ICE,SUV-D,7483, Edge,1429,130867
福特 Explorer,ICE,SUV-D,12824, Explorer,1356,182230
#N/A,#N/A,#N/A,#N/A, Golf,1340,123383
雪佛兰 C/K Suburban,ICE,SUV-E,5209, Suburban,1289,179396
丰田 Tundra,ICE,Pickup Truck,10500, Tundra,1279,162639
宝马 X3,ICE,SUV-D,5070, X3,1170,105090
雪佛兰 Tahoe,ICE,SUV-E,9955, Tahoe,1140,158259
起亚 Telluride,ICE,SUV-D,9534, Telluride,1125,202858
现代 Tucson (ix35),ICE,SUV-C,17228, Tucson,1121,143531
雪佛兰 Traverse,ICE,SUV-D,10536, Traverse,1114,164181
本田 Odyssey,ICE,MPV,5239, Odyssey,1103,186151
Lincoln Lincoln Nautilus,ICE,SUV-D,2286, Lincoln,1065,117652
起亚 Sorento (KX7),ICE,SUV-D,7607, Sorento,1037,156444
GMC Yukon XL,ICE,SUV-E,3045, Yukon XL,1031,154342
宝马 X5,ICE,SUV-E,6208, X5,1021,91418
日产 Rogue,ICE,SUV-C,27096, Rogue,1011,117769
道奇  Durango (Dodge ),ICE,SUV-E,5793, Durango,940,112811
#N/A,#N/A,#N/A,#N/A, X4,916,77975
福特 Bronco Sport,ICE,SUV-C,11152, Bronco,897,102046
丰田 Sienna,HV,MPV,6418, Sienna,881,143138
福特 Transit,ICE,van,10977, Transit,874,77471
福特 Ford Maverick,HV,Pickup Truck,7473, Maverick,834,114545
福特 Escape,ICE,SUV-C,12465, Escape,819,94641
Cadillac Escalade,ICE,SUV-E,4497, Escalade,813,108528
现代 Santa Fe,ICE,SUV-D,11276, Santa Fe,773,101813
现代 Palisade,ICE,SUV-D,5873, Palisade,744,113091
丰田 Highlander,ICE,SUV-D,18761, Highlander,729,108111
雪佛兰 Equinox,ICE,SUV-C,14604, Equinox,712,97969
GMC Canyon,ICE,Pickup Truck,3496, Canyon,702,76943
#N/A,#N/A,#N/A,#N/A, F250,680,79804
本田 HR-V,ICE,SUV-C,9136, HR-V,680,70412
福特 Transit Connect,ICE,van,1508, Transit Connect,677,59751
道奇  Charger (Dodge ),ICE,Car-D,8047, Charger,675,78333
日产 Pathfinder,ICE,SUV-D,5082, Pathfinder,674,88617
