车型信息,动力,车种,6月车型销量,车型,品线月销量,品线月销售额
Tesla Model Y,EV,SUV-D,36435, Model Y,17306,476042
Tesla Model 3,EV,Car-D,19000, Model 3,16414,480320
吉普  Wrangler (Jeep ),ICE,SUV-C,12778, Wrangler,11431,284015
GMC GMC Sierra,ICE,Pickup Truck,25544, Sierra,9523,205214
雪佛兰 Silverado,ICE,Pickup Truck,47698, Silverado,9507,204867
吉普  Jeep Gladiator,ICE,Pickup Truck,5130, Gladiator,9292,235646
福特 Bronco Sport,ICE,SUV-C,11152, Bronco,6460,120351
丰田 Tacoma,ICE,Pickup Truck,20153, Tacoma,6447,125309
丰田 RAV4,ICE,SUV-D,38482, RAV4,5268,92059
GMC Yukon,ICE,SUV-E,3845, Yukon,4723,92616
雪佛兰 C/K Suburban,ICE,SUV-E,5209, Suburban,4721,92419
雪佛兰 Tahoe,ICE,SUV-E,9955, Tahoe,4712,92287
本田 CR-V,HV,SUV-D,31159, CR-V,4506,90660
福特 Ford F-150,ICE,Pickup Truck,72355, F-150,4291,86055
#N/A,#N/A,#N/A,#N/A, F150,3603,72556
本田 Honda Pilot,ICE,SUV-D,10691, Pilot,3602,97958
福特 Bronco Sport,ICE,SUV-C,11152, Bronco Sport,3283,59186
道奇  Charger (Dodge ),ICE,Car-D,8047, Charger,3173,82121
丰田 Tundra,ICE,Pickup Truck,10500, Tundra,3153,78118
福特 Ford Maverick,HV,Pickup Truck,7473, Maverick,2587,48104
#N/A,#N/A,#N/A,#N/A, CRV,2176,43820
福特 Escape,ICE,SUV-C,12465, Escape,2049,35741
丰田 4Runner,ICE,SUV-D,9168, 4Runner,2012,51165
Rivian R1T,EV,Pickup Truck,3436, R1T,1945,50968
#N/A,#N/A,#N/A,#N/A, R1S,1940,50919
#N/A,#N/A,#N/A,#N/A, F250,1871,33088
福特 Expedition,ICE,SUV-E,6970, Expedition,1658,31303
丰田 Sienna,HV,MPV,6418, Sienna,1598,34101
本田 Accord,ICE,Car-D,17735, Accord,1586,28017
丰田 Camry,ICE,Car-D,27078, Camry,1560,27524
现代 Tucson (ix35),ICE,SUV-C,17228, Tucson,1559,25543
大众 VW Atlas,ICE,SUV-D,7863, Atlas,1544,29099
本田 Ridgeline,ICE,Pickup Truck,4678, Ridgeline,1343,24685
