车型信息,动力,车种,6月车型销量,车型,品线月销量,品线月销售额
吉普  Wrangler (Jeep ),ICE,SUV-C,12778, Wrangler,2657,194684
Tesla Model Y,EV,SUV-D,36435, Model Y,2642,177088
雪佛兰 Silverado,ICE,Pickup Truck,47698, Silverado,2225,100444
福特 Ford F-150,ICE,Pickup Truck,72355, F-150,2171,52857
#N/A,#N/A,#N/A,#N/A, F150,2107,48548
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Cherokee,1416,53624
Tesla Model 3,EV,Car-D,19000, Model 3,1390,115797
丰田 Tacoma,ICE,Pickup Truck,20153, Tacoma,1201,53435
GMC GMC Sierra,ICE,Pickup Truck,25544, Sierra,846,73481
福特 Ford Maverick,HV,Pickup Truck,7473, Maverick,726,76958
福特 Bronco Sport,ICE,SUV-C,11152, Bronco,667,56733
宝马 X3,ICE,SUV-D,5070, X3,614,63281
#N/A,#N/A,#N/A,#N/A, F250,598,17577
福特 Ford Ranger,ICE,Pickup Truck,4415, Ranger,546,57911
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Grand Cherokee,515,39575
GMC Yukon,ICE,SUV-E,3845, Yukon,493,11274
宝马 X5,ICE,SUV-E,6208, X5,492,12417
丰田 4Runner,ICE,SUV-D,9168, 4Runner,485,76141
起亚 Telluride,ICE,SUV-D,9534, Telluride,482,17186
丰田 Highlander,ICE,SUV-D,18761, Highlander,478,9002
本田 CR-V,HV,SUV-D,31159, CR-V,468,40458
斯巴鲁 Forester,ICE,SUV-C,10669, Forester,454,8657
#N/A,#N/A,#N/A,#N/A, RZR,445,63014
斯巴鲁 Outback,ICE,SUV-D,16225, Outback,422,12143
道奇  Durango (Dodge ),ICE,SUV-E,5793, Durango,399,8118
雪佛兰 Tahoe,ICE,SUV-E,9955, Tahoe,381,8064
吉普  Jeep Gladiator,ICE,Pickup Truck,5130, Gladiator,369,21811
丰田 RAV4,ICE,SUV-D,38482, RAV4,359,19349
雪佛兰 C/K Suburban,ICE,SUV-E,5209, Suburban,342,6798
路虎  Defender (Land Rover ),ICE,SUV-D,1996, Defender,324,22532
本田 Honda Pilot,ICE,SUV-D,10691, Pilot,318,5659
丰田 Tundra,ICE,Pickup Truck,10500, Tundra,318,6395
雪佛兰 Equinox,ICE,SUV-C,14604, Equinox,306,5934
宝马 X1,ICE,SUV-C,1370, X1,294,8951
三菱 Outlander,ICE,SUV-D,3936, Outlander,294,61587
#N/A,#N/A,#N/A,#N/A, Golf,290,19017
Lincoln Lincoln Nautilus,ICE,SUV-D,2286, Lincoln,277,10365
丰田 Camry,ICE,Car-D,27078, Camry,274,5512
Cadillac Escalade,ICE,SUV-E,4497, Escalade,271,5573
本田 Civic,ICE,Car-C,15979, Civic,244,6790
本田 Accord,ICE,Car-D,17735, Accord,242,4407
#N/A,#N/A,#N/A,#N/A, CRV,237,22887
福特 Explorer,ICE,SUV-D,12824, Explorer,233,5676
雪佛兰 Traverse,ICE,SUV-D,10536, Traverse,229,7639
#N/A,#N/A,#N/A,#N/A, Cruiser,190,9164
本田 Ridgeline,ICE,Pickup Truck,4678, Ridgeline,188,6787
福特 Bronco Sport,ICE,SUV-C,11152, Bronco Sport,178,7674
吉普  Renegade,ICE,SUV-B,1515, Renegade,169,38751
本田 Passport,ICE,SUV-D,3710, Passport,166,3274
Lincoln Lincoln Navigator,ICE,SUV-E,1674, Lincoln Navigator,144,7300
福特 Expedition,ICE,SUV-E,6970, Expedition,138,8461
起亚 Sportage,ICE,SUV-C,13128, Sportage,137,3033
雷克萨斯 Lexus RX,ICE,SUV-E,10274, Lexus RX,123,2456
斯巴鲁 Ascent,ICE,SUV-D,5889, Ascent,123,3395
起亚 Sorento (KX7),ICE,SUV-D,7607, Sorento,117,1980
现代 Tucson (ix35),ICE,SUV-C,17228, Tucson,109,6793
福特 Transit,ICE,van,10977, Transit,107,33644
Tesla Model X,EV,SUV-E,2500, Model X,104,4383
起亚 EV6,EV,SUV-D,1458, EV6,102,7826
福特 Edge,ICE,SUV-D,7483, Edge,98,2026
Ram  Ram 1500,ICE,Pickup Truck,39550, Ram 1500,97,5030
Ram  Ram 1500,ICE,Pickup Truck,39550, RAM 1500,97,5030
斯巴鲁 Impreza,ICE,Car-C,2954, Impreza,87,2044
福特 Mustang,ICE,Car-D,2060, Mustang,86,1655
GMC Terrain,ICE,SUV-C,6334, Terrain,86,1760
#N/A,#N/A,#N/A,#N/A, Crosstrek,84,3034
Lincoln Lincoln MKC/Corsair,ICE,SUV-C,2587, MKC,83,2248
大众 VW Atlas,ICE,SUV-D,7863, Atlas,82,1847
雪佛兰 Blazer,ICE,SUV-D,6290, Blazer,79,7253
Tesla Model S,EV,Car-E,1700, Model S,77,3845
#N/A,#N/A,#N/A,#N/A, Sequoia,75,1500
GMC Yukon XL,ICE,SUV-E,3045, Yukon XL,72,1184
现代 Palisade,ICE,SUV-D,5873, Palisade,72,1546
马自达 CX-5,ICE,SUV-C,12861, CX-5,71,1555
日产 Kicks,ICE,SUV-C,5955, Kicks,71,5807
奥迪 Audi Q5,ICE,SUV-D,5695, Audi Q5,69,1395
#N/A,#N/A,#N/A,#N/A, RX350,68,1561
别克 Enclave,ICE,SUV-D,3547, Enclave,65,1261
#N/A,#N/A,#N/A,#N/A, Spark,64,8207
#N/A,#N/A,#N/A,#N/A, Accent,59,41101
道奇  Charger (Dodge ),ICE,Car-D,8047, Charger,52,1037
GMC Acadia,ICE,SUV-D,6872, Acadia,49,2846
Genesis Genesis GV70,ICE,SUV-D,1745, Genesis GV70,49,830
本田 Odyssey,ICE,MPV,5239, Odyssey,48,805
日产 Pathfinder,ICE,SUV-D,5082, Pathfinder,48,730
雷克萨斯 Lexus NX,ICE,SUV-D,5974, Lexus NX,48,1173
现代 Santa Fe,ICE,SUV-D,11276, Santa Fe,47,937
雪佛兰 Corvette,ICE,Car-F,3136, Corvette,46,1405
现代 Santa Cruz,ICE,Pickup Truck,3627, Santa Cruz,46,1223
日产 Nissan Titan,ICE,Pickup Truck,2455, Titan,44,10118
Cadillac Cadillac XT6,ICE,SUV-E,1867, Cadillac XT6,43,972
沃尔沃汽车  XC90 (Volvo Cars ),ICE,SUV-E,2776, XC90,40,844
雪佛兰 Camaro,ICE,Car-D,3207, Camaro,38,686
福特 Escape,ICE,SUV-C,12465, Escape,37,661
日产 Murano,ICE,SUV-D,2910, Murano,36,718
日产 Frontier (Navara),ICE,Pickup Truck,5072, Frontier,35,1327
道奇  Challenger (Dodge ),ICE,Car-D,4199, Challenger,33,526
本田 HR-V,ICE,SUV-C,9136, HR-V,32,2463
福特 Transit Connect,ICE,van,1508, Transit Connect,32,10505
日产 Rogue,ICE,SUV-C,27096, Rogue,31,886
雪佛兰 Chevrolet Colorado,ICE,Pickup Truck,10664, Colorado,29,532
马自达 CX-30,ICE,SUV-C,6612, CX-30,29,3098
吉普  Compass (Jeep ),ICE,SUV-C,8615, Compass,29,487
马自达 CX-9,ICE,SUV-D,863, CX-9,29,561
沃尔沃汽车  XC60 (Volvo Cars ),ICE,SUV-D,3300, XC60,27,663
日产 Armada,ICE,SUV-D,1798, Armada,27,646
英菲尼迪 Infiniti QX60 (JX),ICE,SUV-E,2719, QX60,26,362
#N/A,#N/A,#N/A,#N/A, Patriot,24,406
#N/A,#N/A,#N/A,#N/A, X2,23,3252
丰田 Corolla,ICE,Car-C,18163, Corolla,21,523
奥迪 Audi A5,ICE,Car-D,2283, Audi A5,20,399
雷克萨斯 Lexus UX,HV,SUV-C,1012, Lexus UX,20,399
讴歌 Acura RDX,ICE,SUV-D,3502, Acura RDX,19,436
#N/A,#N/A,#N/A,#N/A, Focus,19,339
#N/A,#N/A,#N/A,#N/A, Avalon,17,452
#N/A,#N/A,#N/A,#N/A, HRV,17,2209
沃尔沃汽车  XC40 (Volvo Cars ),ICE,SUV-C,1643, XC40,17,385
#N/A,#N/A,#N/A,#N/A, Stinger,17,338
梅赛德斯-奔驰  GLE-Class (M-Class/ML-Class),ICE,SUV-E,4543, GLE,16,343
大众 ID.4,EV,SUV-C,2836, ID.4,14,1239
#N/A,#N/A,#N/A,#N/A, Infiniti QX50,14,279
斯巴鲁 WRX,ICE,Car-C,2326, WRX,13,259
#N/A,#N/A,#N/A,#N/A, Carnival,12,200
福特 Mustang Mach-E,EV,SUV-D,4110, Mustang Mach-E,12,179
丰田 Sienna,HV,MPV,6418, Sienna,11,2199
起亚 NIRO,HV,SUV-C,2892, NIRO,11,218
梅赛德斯-奔驰  EQS SUV,EV,SUV-E,1015, EQS,11,218
现代 IONIQ 5,EV,SUV-D,3136, Ioniq,10,157
雷克萨斯 Lexus ES,ICE,Car-E,3611, Lexus ES,8,159
Cadillac Cadillac XT4,ICE,SUV-C,1857, Cadillac XT4,8,878
Porsche  Cayenne,ICE,SUV-E,1591, Cayenne,8,127
#N/A,#N/A,#N/A,#N/A, Acura ILX,8,50
#N/A,#N/A,#N/A,#N/A, Stelvio,7,125
讴歌 Integra ,ICE,Car-C,2608, Integra,7,138
GMC Canyon,ICE,Pickup Truck,3496, Canyon,6,119
#N/A,#N/A,#N/A,#N/A, Infiniti Q50,6,149
#N/A,#N/A,#N/A,#N/A, F-Type,6,119
宝马 iX,EV,SUV-D,1415, iX,6,119
#N/A,#N/A,#N/A,#N/A, Element,6,101
Lincoln Lincoln Nautilus,ICE,SUV-D,2286, Nautilus,6,102
Genesis Genesis GV80,ICE,SUV-E,1506, Genesis GV80,6,119
马自达 MX-5 (Miata),ICE,Car-C,866, MX-5,6,111
现代 Sonata,ICE,Car-D,3834, Sonata,5,98
讴歌 Acura MDX,ICE,SUV-E,5048, Acura MDX,5,114
大众 Jetta,ICE,Car-C,4587, Jetta,5,119
#N/A,#N/A,#N/A,#N/A, Caravan,5,79
#N/A,#N/A,#N/A,#N/A, F-Pace,5,100
雪佛兰 Malibu,ICE,Car-D,14020, Malibu,4,79
#N/A,#N/A,#N/A,#N/A, Audi Q7,4,119
奥迪 Audi Q8,ICE,SUV-E,1282, Audi Q8,4,79
#N/A,#N/A,#N/A,#N/A, EQE SUV,4,79
#N/A,#N/A,#N/A,#N/A, EQE,4,79
#N/A,#N/A,#N/A,#N/A, V60,4,120
#N/A,#N/A,#N/A,#N/A, Audi A7,4,79
#N/A,#N/A,#N/A,#N/A, Flex,3,987
丰田 Corolla Cross,ICE,SUV-C,5373, Corolla Cross,3,74
日产 Sentra,ICE,Car-C,12720, Sentra,3,59
雪佛兰 Trax (Tracker),ICE,SUV-B,9719, Trax,3,59
马自达 CX-50,ICE,SUV-D,3532, CX-50,3,149
Cadillac Cadillac XT5,ICE,SUV-D,1985, Cadillac XT5,3,66
#N/A,#N/A,#N/A,#N/A, Lexus LS,3,50
#N/A,#N/A,#N/A,#N/A, F-250,2,377
起亚 K5,ICE,Car-D,6072, K5,2,40
#N/A,#N/A,#N/A,#N/A, Hummer,2,23
Lincoln Aviator,ICE,SUV-E,237, Aviator,2,39
雷克萨斯 Lexus GX,ICE,SUV-E,2545, Lexus GX,2,40
#N/A,#N/A,#N/A,#N/A, S60,2,87
别克 Encore GX,ICE,SUV-C,6316, Encore,2,34
#N/A,#N/A,#N/A,#N/A, S90,2,87
#N/A,#N/A,#N/A,#N/A, V90,2,87
路虎  Range Rover (Land Rover ),ICE,SUV-E,1432, Range Rover,1,15
#N/A,#N/A,#N/A,#N/A, Range Rover Sport,1,15
Polestar Polestar 2,EV,Car-D,1117, Polestar 2,1,19
#N/A,#N/A,#N/A,#N/A, Supra,1,55
别克 Encore GX,ICE,SUV-C,6316, Encore GX,1,15
奥迪 Audi Q3,ICE,SUV-C,1928, Audi Q3,1,15
#N/A,#N/A,#N/A,#N/A, Jimny,1,30
克莱斯勒  Chrysler,柴油 ,Class 5,1823, CHR,0,0
克莱斯勒  Chrysler 300 series (Chrysler ),ICE,Car-E,1635, Chrysler 300,0,0
日产 Altima,ICE,Car-D,8093, Altima,0,0
宝马 BMW 5 Series,ICE,Car-E,1439, BMW 5 Series,0,0
#N/A,#N/A,#N/A,#N/A, X6,0,0
#N/A,#N/A,#N/A,#N/A, X4,0,0
#N/A,#N/A,#N/A,#N/A, C Class,0,0
梅赛德斯-奔驰  GLC-Class (GLK-Class),ICE,SUV-D,4702, GLC,0,0
宝马 3 Series,ICE,Car-D,2437, 3 Series,0,0
#N/A,#N/A,#N/A,#N/A, Leaf,0,0
#N/A,#N/A,#N/A,#N/A, E150,0,0
奥迪 Audi A4,ICE,Car-D,884, Audi A4,0,0
#N/A,#N/A,#N/A,#N/A, Optima,0,0
#N/A,#N/A,#N/A,#N/A, Mazda 3,0,0
#N/A,#N/A,#N/A,#N/A, Journey,0,0
#N/A,#N/A,#N/A,#N/A, G35,0,0
#N/A,#N/A,#N/A,#N/A, G25,0,0
#N/A,#N/A,#N/A,#N/A, 325i,0,0
斯巴鲁 Legacy,ICE,Car-D,2347, Legacy,0,0
#N/A,#N/A,#N/A,#N/A, Beetle,0,0
斯巴鲁 XV,ICE,SUV-C,13788, XV,0,0
日产 Maxima,ICE,Car-E,1547, Maxima,0,0
雪佛兰 Trailblazer,ICE,SUV-C,11579, Trailblazer,0,0
#N/A,#N/A,#N/A,#N/A, IS350,0,0
#N/A,#N/A,#N/A,#N/A, IS250,0,0
#N/A,#N/A,#N/A,#N/A, BRZ,0,0
丰田 Prius,HV,Car-C,1472, Prius,0,0
梅赛德斯-奔驰  C-Class,ICE,Car-D,2845, C-Class,0,0
#N/A,#N/A,#N/A,#N/A, Xterra,0,0
讴歌 Acura TLX,ICE,Car-D,2013, Acura TL,0,0
