车型信息,动力,车种,6月车型销量,车型,垫类总额月销量,垫类总额月销售额,后备箱垫+椅背垫月销量,后备箱垫+椅背垫月销售额,后备箱垫+脚垫月销量,后备箱垫+脚垫月销售额,后备箱垫+椅背垫+脚垫月销量,后备箱垫+椅背垫+脚垫月销售额,后备箱垫单品月销量,后备箱垫单品月销售额,脚垫单品月销量,脚垫单品月销售额,椅背垫单品月销量,椅背垫单品月销售额
Tesla Model Y,EV,SUV-D,36435, Model Y,14211,2109988,871,65730,8571,1563714,218,45387,1762,143731,2043,229858,618,34612
Tesla Model 3,EV,Car-D,19000, Model 3,10805,1516526,10,599,6583,1057006,0,0,668,42360,3402,404230,113,7686
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Cherokee,6051,783791,616,70756,1739,263838,71,15497,824,67926,2734,356620,0,0
福特 Ford F-150,ICE,Pickup Truck,72355, F-150,6340,754969,0,0,0,0,0,0,208,22385,6032,716209,0,0
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Grand Cherokee,5449,727050,592,68658,1508,248488,59,12978,725,58878,2498,328894,0,0
本田 CR-V,HV,SUV-D,31159, CR-V,6427,653784,871,73736,808,126189,70,14734,936,55659,3704,378315,0,0
雪佛兰 Silverado,ICE,Pickup Truck,47698, Silverado,5129,642026,0,0,1,115,0,0,0,0,5081,636242,0,0
GMC GMC Sierra,ICE,Pickup Truck,25544, Sierra,4967,620339,0,0,0,0,0,0,0,0,4923,615266,0,0
吉普  Wrangler (Jeep ),ICE,SUV-C,12778, Wrangler,5470,565348,125,8751,746,91737,0,0,1784,131911,2681,322928,124,8097
Ram  Ram 1500,ICE,Pickup Truck,39550, Ram 1500,4439,521961,0,0,0,0,0,0,50,5229,4107,485612,0,0
Ram  Ram 1500,ICE,Pickup Truck,39550, RAM 1500,4439,521961,0,0,0,0,0,0,50,5229,4107,485612,0,0
GMC Yukon,ICE,SUV-E,3845, Yukon,3092,439518,158,20537,370,72219,0,0,765,82186,1762,259665,0,0
丰田 4Runner,ICE,SUV-D,9168, 4Runner,3723,421351,1345,152617,218,33527,0,0,369,18932,1738,211408,0,0
福特 Bronco Sport,ICE,SUV-C,11152, Bronco,4763,373199,674,41794,155,23048,6,898,1505,97504,598,73107,1811,136025
