车型信息,动力,车种,6月车型销量,车型,品线月销量,品线月销售额
Tesla Model Y,EV,SUV-D,36435,Model Y,7306,266611
雪佛兰 Silverado,ICE,Pickup Truck,47698,Silverado,2185,162287
丰田 Tacoma,ICE,Pickup Truck,20153,Tacoma,1883,92440
福特 Ford F-150,ICE,Pickup Truck,72355,F-150,1683,131149
福特 Bronco Sport,ICE,SUV-C,11152,Bronco,844,88468
Ram  Ram 1500,ICE,Pickup Truck,39550,RAM 1500,767,47227
GMC GMC Sierra,ICE,Pickup Truck,25544,Sierra,555,39721
福特 Ford Maverick,HV,Pickup Truck,7473,Maverick,479,21305
丰田 Tundra,ICE,Pickup Truck,10500,Tundra,474,21987
本田 Civic,ICE,Car-C,15979,Civic,468,12803
Tesla Model 3,EV,Car-D,19000,Model 3,452,14711
丰田 Camry,ICE,Car-D,27078,Camry,449,12478
本田 Accord,ICE,Car-D,17735,Accord,354,9258
丰田 RAV4,ICE,SUV-D,38482,RAV4,345,11590
丰田 Corolla,ICE,Car-C,18163,Corolla,326,9870
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309,Cherokee,313,19291
雪佛兰 Tahoe,ICE,SUV-E,9955,Tahoe,278,12271
雪佛兰 C/K Suburban,ICE,SUV-E,5209,Suburban,273,11651
GMC Yukon,ICE,SUV-E,3845,Yukon,267,11751
#N/A,#N/A,#N/A,#N/A,Cruiser,238,5707
#N/A,#N/A,#N/A,#N/A,Land Cruiser,238,5707
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309,Grand Cherokee,230,10230
道奇  Challenger (Dodge ),ICE,Car-D,4199,Challenger,203,8333
本田 CR-V,HV,SUV-D,31159,CR-V,199,7306
丰田 4Runner,ICE,SUV-D,9168,4Runner,194,5940
福特 Explorer,ICE,SUV-D,12824,Explorer,163,6005
路虎  Defender (Land Rover ),ICE,SUV-D,1996,Defender,149,6391
福特 Ford Ranger,ICE,Pickup Truck,4415,Ranger,147,10537
现代 Tucson (ix35),ICE,SUV-C,17228,X3,146,21887
GMC Canyon,ICE,Pickup Truck,3496,Canyon,146,6938
雪佛兰 Trailblazer,ICE,SUV-C,11579,Blazer,134,4688
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309,Grand Cherokee ,133,6081
雪佛兰 Trailblazer,ICE,SUV-C,11579,Trailblazer,133,4643
雪佛兰 Chevrolet Colorado,ICE,Pickup Truck,10664,Colorado,131,6339
起亚 Sportage,ICE,SUV-C,13128,Sportage,108,2813
福特 Mustang,ICE,Car-D,2060,Mustang,100,4797
GMC Yukon XL,ICE,SUV-E,3045,Yukon XL,99,4872
道奇  Charger (Dodge ),ICE,Car-D,8047,Charger,96,3763
丰田 Sienna,HV,MPV,6418,Sienna,96,2727
#N/A,#N/A,#N/A,#N/A,Caravan,93,3348
日产 Frontier (Navara),ICE,Pickup Truck,5072,Frontier,91,4105
丰田 Prius,HV,Car-C,1472,Prius,90,2177
#N/A,#N/A,#N/A,#N/A,X4,88,6942
#N/A,#N/A,#N/A,#N/A,TRX400,88,6942
#N/A,#N/A,#N/A,#N/A,TRX450,88,6942
#N/A,#N/A,#N/A,#N/A,F250,86,7163
三菱 Outlander,ICE,SUV-D,3936,Outlander,86,4890
吉普  Renegade,ICE,SUV-B,1515,Renegade,82,3801
丰田 Highlander,ICE,SUV-D,18761,Highlander,78,3051
斯巴鲁 WRX,ICE,Car-C,2326,WRX,78,10796
#N/A,#N/A,#N/A,#N/A,Avalon,76,1799
起亚 EV6,EV,SUV-D,1458,EV6,76,2160
#N/A,#N/A,#N/A,#N/A,86,75,1782
雪佛兰 Corvette,ICE,Car-F,3136,Corvette,71,3346
雪佛兰 Equinox,ICE,SUV-C,14604,Equinox,69,2329
#N/A,#N/A,#N/A,#N/A,RAV-4,64,2065
Tesla Model S,EV,Car-E,1700,Model S,58,607
大众 Jetta,ICE,Car-C,4587,Jetta,58,1508
马自达 CX-5,ICE,SUV-C,12861,CX-5,56,2022
吉普  Wrangler (Jeep ),ICE,SUV-C,12778,GLE,52,3180
吉普  Wrangler (Jeep ),ICE,SUV-C,12778,Wrangler,52,3180
马自达 CX-30,ICE,SUV-C,6612,CX-30,49,1643
丰田 Corolla Cross,ICE,SUV-C,5373,Corolla Cross,48,1740
道奇  Durango (Dodge ),ICE,SUV-E,5793,Durango,46,2077
本田 Ridgeline,ICE,Pickup Truck,4678,Ridgeline,45,2794
Tesla Model X,EV,SUV-E,2500,Model X,44,1579
现代 Sonata,ICE,Car-D,3834,Sonata,42,1377
福特 Bronco Sport,ICE,SUV-C,11152,Bronco Sport,41,1899
雪佛兰 Trax (Tracker),ICE,SUV-B,9719,Trax,40,7267
大众 Tiguan,ICE,SUV-C,4683,Tiguan,36,1502
吉普  Compass (Jeep ),ICE,SUV-C,8615,Compass,34,1642
现代 Avante (Elantra),ICE,Car-C,13424,Elantra,33,913
#N/A,#N/A,#N/A,#N/A,Audi Q7,32,1279
起亚 Telluride,ICE,SUV-D,9534,Telluride,31,3463
现代 Tucson (ix35),ICE,SUV-C,17228,Tucson,29,971
吉普  Jeep Gladiator,ICE,Pickup Truck,5130,Gladiator,28,2612
别克 Envision,ICE,SUV-C,4192,Envision,28,1074
别克 Encore GX,ICE,SUV-C,6316,Encore,27,1005
现代 Palisade,ICE,SUV-D,5873,Palisade,26,773
#N/A,#N/A,#N/A,#N/A,Sequoia,24,479
本田 Passport,ICE,SUV-D,3710,Passport,24,2319
沃尔沃汽车  XC60 (Volvo Cars ),ICE,SUV-D,3300,XC60,24,1149
克莱斯勒  Pacifica (Chrysler ),ICE,MPV,16953,CHR,23,2140
本田 Odyssey,ICE,MPV,5239,Odyssey,23,656
克莱斯勒  Pacifica (Chrysler ),ICE,MPV,16953,Pacifica,23,2140
日产 Rogue,ICE,SUV-C,27096,Rogue,22,746
雪佛兰 Malibu,ICE,Car-D,14020,Malibu,21,671
福特 Escape,ICE,SUV-C,12465,Escape,19,625
沃尔沃汽车  XC90 (Volvo Cars ),ICE,SUV-E,2776,XC90,19,958
本田 HR-V,ICE,SUV-C,9136,HR-V,18,621
雷克萨斯 Lexus ES,ICE,Car-E,3611,Lexus ES,18,817
大众 ID.4,EV,SUV-C,2836,ID.4,18,754
