车型信息,动力,车种,6月车型销量,车型,品线月销量,品线月销售额
福特 Ford F-150,ICE,Pickup Truck,72355, F-150,6287,378139
丰田 Tacoma,ICE,Pickup Truck,20153, Tacoma,5687,318586
#N/A,#N/A,#N/A,#N/A, F250,4498,233919
#N/A,#N/A,#N/A,#N/A, F-250,3601,180152
本田 Civic,ICE,Car-C,15979, Civic,3592,154195
#N/A,#N/A,#N/A,#N/A, F150,3489,213200
本田 CR-V,HV,SUV-D,31159, CR-V,2979,179938
雪佛兰 Silverado,ICE,Pickup Truck,47698, Silverado,2840,154151
Ram  Ram 1500,ICE,Pickup Truck,39550, Ram 1500,2744,123687
Ram  Ram 1500,ICE,Pickup Truck,39550, RAM 1500,2744,123687
#N/A,#N/A,#N/A,#N/A, Ram 2500,2316,104828
#N/A,#N/A,#N/A,#N/A, RAM 2500,2316,104828
本田 Accord,ICE,Car-D,17735, Accord,1989,91733
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Cherokee,1985,114529
丰田 Tundra,ICE,Pickup Truck,10500, Tundra,1890,108429
丰田 RAV4,ICE,SUV-D,38482, RAV4,1690,104535
日产 Frontier (Navara),ICE,Pickup Truck,5072, Frontier,1569,86256
丰田 4Runner,ICE,SUV-D,9168, 4Runner,1490,87920
丰田 Camry,ICE,Car-D,27078, Camry,1474,80971
#N/A,#N/A,#N/A,#N/A, 2009-2018 Dodge Ram,1420,54187
吉普  Wrangler (Jeep ),ICE,SUV-C,12778, Wrangler,1388,74852
丰田 Corolla,ICE,Car-C,18163, Corolla,1349,57442
#N/A,#N/A,#N/A,#N/A, CRV,1217,76201
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Grand Cherokee,1150,69077
Lincoln Lincoln Nautilus,ICE,SUV-D,2286, Lincoln,1128,53912
日产 Rogue,ICE,SUV-C,27096, Rogue,1018,54785
GMC GMC Sierra,ICE,Pickup Truck,25544, Sierra,1013,50756
GMC Yukon,ICE,SUV-E,3845, Yukon,923,43677
福特 Explorer,ICE,SUV-D,12824, Explorer,909,53131
吉普  Jeep Gladiator,ICE,Pickup Truck,5130, Gladiator,859,49065
丰田 Highlander,ICE,SUV-D,18761, Highlander,720,40855
